message,label
müzik fena değil,neutral
arada bakıyorum,neutral
hocam efsane konulara değiniyorsun,positive
tam bir zaman kaybı,negative
çok tekrar ediyor,negative
tam bir zaman kaybı,negative
her gün aynı şeyler,neutral
bugün hiç keyif alamadım,negative
bu ne yayını,neutral
bilgilendirici yayın,positive
iyi ki açtım bu yayını,positive
içerik yetersiz,negative
bu ne yayını,neutral
çalışırken dinlemek güzel,positive
çok kaliteli içerik,positive
helal hocam,positive
çok güzel anlatıyor,positive
çok yorum yok ama izliyorum,neutral
yayın açık arka planda,neutral
kimse izlemiyor boşuna,negative
her şey süper gidiyor,positive
bağlantı problemi var,negative
internet kopuyor sürekli,negative
gereksiz uzatıyor,negative
yine donuyor,negative
yayın açılmasa daha iyiydi,negative
arada bakıyorum,neutral
sıkıcı yayın,negative
çalışırken dinlemek güzel,positive
biraz sessiz bugün,neutral
yine donuyor,negative
kimse izlemiyor boşuna,negative
internet kopuyor sürekli,negative
hiçbir şey anlamadım,negative
ses yankı yapıyor,negative
süper sohbet oldu,positive
her şey süper gidiyor,positive
ses berbat,negative
bu adam bu işi biliyor,positive
arada bakıyorum,neutral
çok konuşan yok,neutral
sıkıcı yayın,negative
hocam enerjin çok iyi,positive
yayın kalitesi düşük,negative
hocam çok yavaş anlatıyor,negative
yarım izledim,neutral
bugün efsanesin,positive
chat sakin bugün,neutral
yayın açık ama ses yok,neutral
çalışırken dinlemek güzel,positive
iyi ki açtım bu yayını,positive
çok kötüydü,negative
yayın açılmasa daha iyiydi,negative
yine donuyor,negative
bilgilendirici yayın,positive
çok kaliteli içerik,positive
bilgilendirici yayın,positive
chat sakin bugün,neutral
bu ne yayını,neutral
ses yankı yapıyor,negative
yayın açılmasa daha iyiydi,negative
bugün efsanesin,positive
çok kaliteli içerik,positive
kimse izlemiyor boşuna,negative
hocam çok yavaş anlatıyor,negative
şu anlık normal,neutral
çok kaliteli içerik,positive
yayın açılmasa daha iyiydi,negative
hocam çok yavaş anlatıyor,negative
şu anlık normal,neutral
çok yorum yok ama izliyorum,neutral
yayın akıyor resmen,positive
yayın kalitesi düşük,negative
internet kopuyor sürekli,negative
boş konuşuyor,negative
yeni geldim,neutral
çok kaliteli içerik,positive
her gün aynı şeyler,neutral
bu ne yayını,neutral
çok kaliteli içerik,positive
yayın açılmasa daha iyiydi,negative
gereksiz uzatıyor,negative
çok tekrar ediyor,negative
bugün böyle sanırım,neutral
çok konuşan yok,neutral
helal hocam,positive
yayın açılmasa daha iyiydi,negative
helal hocam,positive
modlar aktif,neutral
çalışırken dinlemek güzel,positive
ses görüntü muazzam,positive
sıkıcı yayın,negative
ses yankı yapıyor,negative
her gün aynı şeyler,neutral
konu farklıymış,neutral
yayın akıyor resmen,positive
bu ne yayını,neutral
çok güzel anlatıyor,positive
bu ne yayını,neutral
çok kaliteli içerik,positive
süper sohbet oldu,positive
gülmekten öldüm,positive
fon güzelmiş,neutral
her gün aynı şeyler,neutral
hiçbir şey anlamadım,negative
ilk defa bu kadar sardım,positive
yayın açık arka planda,neutral
helal hocam,positive
her gün aynı şeyler,neutral
çok kötüydü,negative
yayın açık arka planda,neutral
chat sakin bugün,neutral
süper sohbet oldu,positive
yayın açık ama ses yok,neutral
çok tekrar ediyor,negative
modlar işini yapmıyor,negative
iyi ki açtım bu yayını,positive
fon güzelmiş,neutral
çok konuşan yok,neutral
modlar işini yapmıyor,negative
chat toksik olmuş,negative
süper sohbet oldu,positive
hocam efsane konulara değiniyorsun,positive
efsane yayındı,positive
internet kopuyor sürekli,negative
her gün aynı şeyler,neutral
yayın harikaydı,positive
bu adam bu işi biliyor,positive
bu ne yayını,neutral
çok güzel anlatıyor,positive
biraz sessiz bugün,neutral
şu anlık normal,neutral
yayın harikaydı,positive
ilk defa bu kadar sardım,positive
yayın akıyor resmen,positive
çok yorum yok ama izliyorum,neutral
chat sakin bugün,neutral
yayın akıyor resmen,positive
