username,content,msg_id,user_id,timestamp
DnzClskn,cago çok mutlu,68e977d8-94cd-4939-846d-34fc6c6a091b,42936229,2025-05-07T18:14:41.226275
mrMxy,fiyat perf kur ben oynarım midde,d0e83992-2c6f-423c-b696-6ece75fbb0fa,28245024,2025-05-07T18:14:41.226275
sametizzz,Mutlu olmak için espor takımı mı kurulur,c073fc82-cc66-4cca-8195-671d906c853b,26931912,2025-05-07T18:14:41.226275
Asran35,TFL Nin haline bak işte herkes lol takımı kuruyor,cfd1e1bb-9464-4637-bd0e-973e29f50706,58229517,2025-05-07T18:14:41.226275
PoirkeCan,daha yaz gelmedi yandım amk,ec2124de-b8b6-4c29-ae04-38c355960f94,32989678,2025-05-07T18:14:41.226275
leonasV,sen kur biz beleşe oynarız,8f8cd9e5-9571-4566-86a8-7f2cba501872,26944132,2025-05-07T18:14:41.226275
sikibiditoiletmeme,bence hiç mutlu değiller ferit ilgilenmiyor bile bence,638bb7f3-8686-4619-b91e-0dd81ba2824a,26978859,2025-05-07T18:14:41.226275
Dertli_Doktor,cago dertten derde girdi aq,7f88f289-9867-4745-893b-2cc86a49073a,27709926,2025-05-07T18:14:41.226275
emrebozkurtx,bi tanede ben kuracam amk,b567f8f3-51d7-4976-8ac8-c1423d88c7e9,40345061,2025-05-07T18:14:41.226275
YellowFlash35,amaç mutlu olmak mı ?,4678440b-d86d-4db2-b448-9c4b8a8bd684,28863892,2025-05-07T18:14:41.226275
leonasV,,d2b4d50d-3f05-4166-8b82-8810757b3bd5,26944132,2025-05-07T18:14:41.226275
Atemwastaken1,Naru gelecekte sup ortaklığı yok mu be,5749daad-c4a3-4a9d-8a9a-07c3e98da88a,44340261,2025-05-07T18:14:41.226275
CrapsN,bizim lig maçları hiçbir zaman bo3 olmucak demi,8e4125e9-2e45-4002-853a-f72bdecd7a81,26096248,2025-05-07T18:14:41.226275
Promode,bu sıcakta nasıl hoodie giyiyolar,7b159c28-f07e-4d1e-badf-2bd033dccaa6,9178142,2025-05-07T18:14:41.226275
Pitann,5. maçlarda 5 itemde iyi çar,b1167f6e-ee7b-4c04-9f0f-4e68681ebb83,48868524,2025-05-07T18:14:41.226275
fatihskywalker1,Adamlar goldlara karşı oynıyormuş gibi oynadılar,e1a90719-32db-4c49-ac69-2bbbd8de7de8,41909015,2025-05-07T18:14:41.226275
sametizzz,Ulf'un arada bir tutuyor böyle trollemesi. Bir de yarın BGT maçı var bakalım orada da trolleyecekler mi,6e427a55-5a99-42b8-844b-38c60ef2ef58,26931912,2025-05-07T18:14:41.226275
fatihskywalker1,Mısa maçı neydi öyle ya,5aeaa794-ccc7-4733-b338-9dfd37255160,41909015,2025-05-07T18:14:41.226275
ABlKlZLARREGLOLMASINYA,abi herkes espor takımı kurdu sende kursana aw,1d485048-dce7-4aa9-b675-422cf7cc00c6,60644258,2025-05-07T18:14:41.226275
Austin_3_16,turnuvada niye twi alınmıyor,5b1f6304-75e9-400b-8f19-df313ccec4a7,26945826,2025-05-07T18:14:41.226275
RewnezZ,ben biran önce fearless draft görmek istiyorum artık müthiş bir sistem,9876e58f-bacd-435a-bec3-bf0542ce8bb5,57604181,2025-05-07T18:14:41.226275
lexwest1,holy narunun takımının ismi neydi yaa dedi,dea7ef29-4107-4352-810b-a04dea50aa73,54501294,2025-05-07T18:14:41.226275
Artoo_D2,çok kötü bi şey oldu,1dcca33a-f38a-4b8b-abda-aac82fc06da0,26041178,2025-05-07T18:14:41.226275
ramelowb,chat akiyor izleyemiyorum,213da780-b0d2-41f7-84e1-2cdf9bccfa5d,38888468,2025-05-07T18:14:41.226275
Atemwastaken1,üvey kardeşçi dayım,896fb29e-f590-4c21-9d95-314e2a95c7d3,44340261,2025-05-07T18:14:41.226275
YuEmDu2,a telch yok,e74464ca-3162-44b3-9eea-45ae699069c8,34783198,2025-05-07T18:14:41.226275
ramelowb,kick mi çöktü,fc112704-f62e-4f56-a8f1-d8f6e9b28def,38888468,2025-05-07T18:14:41.226275
Pitann,Goriye ver taşıyıcı bir şey oynasın adam,afcd6bf4-98b3-494f-bbb9-0e79db1edabb,48868524,2025-05-07T18:14:41.226275
EET7,,176f0e70-9506-41f9-a776-e63a1ea97a6d,33226032,2025-05-07T18:14:41.226275
usameaktas,,2e86bbc8-232b-4b63-8068-8b2abae9672b,30174768,2025-05-07T18:14:41.226275
erberk,PARA PARA PARA,36068cfa-2870-4358-a296-dde26d63a9ec,9920666,2025-05-07T18:14:41.447238
kobesevenriv9,ferit anca bu yıl mutlu oldu,9a5cdd59-237c-4981-988c-37c5f1541256,43738030,2025-05-07T18:14:41.447238
nikomann,naru onu bunu gec gta fragmanina ne diyon,0175fb5f-74a8-462d-8319-750909c7818f,26922037,2025-05-07T18:14:42.353710
Celil_K,bi kere kazanc yok,940661e5-405f-47f9-b744-9b6394aa8540,30278004,2025-05-07T18:14:46.903758
cekbidumanagam,stres amk,6f6a7c17-0f79-49c3-b17a-8a91c840f0dc,29641596,2025-05-07T18:14:49.180371
btwAnil,stres babacım stress,02e41dfa-7e09-4988-abc1-453cb85c4ccc,26041017,2025-05-07T18:14:49.603960
Atemwastaken1,o parayı karşılama ihtimali yok,77e02a0e-5b28-4b04-8012-6c43b889c26f,44340261,2025-05-07T18:14:50.313901
barbaros67,peki cago sana gelseydi yakım kuralım diye ne yapardın,e996e217-8866-45dd-a97e-99d21f898034,26936097,2025-05-07T18:14:58.262689
leonasV,sen kur biz bedavaya oynuyalım,a5a2f3f7-7952-4988-8380-8931876d16c7,26944132,2025-05-07T18:15:01.645838
YellowFlash35,senin bulunduğun ülkenin genelinde mutluluk yok,530b9aa1-3604-40f5-b3c6-3bef70dadf6e,28863892,2025-05-07T18:15:01.873962
temqs,gta fragmanı neden bu kadar önemli mesela,622aa54c-8c73-47da-adb0-938408e10395,26731929,2025-05-07T18:15:04.765251
CemBaBa,1 m doların varsa açmak mantıklı :),aa058d94-d90b-4e58-96d6-96fb1b3cfbcd,1916199,2025-05-07T18:15:07.043928
Austin_3_16,parayı karşılamıyosa niye yapıyolar bu işi kara paramı aklanıyo,33166b87-fbb1-4bb9-982e-bede9a868da7,26945826,2025-05-07T18:15:15.002812
Pitann,Lucian nami gelir mi bugun acaba. Diğer liglerde oynadılar.,e911ff67-0215-469b-81a5-8b425bcd99f9,48868524,2025-05-07T18:15:18.696558
iboben,kim bilir kac para olcak amk ya,c8d05a8d-6bb4-4a73-b314-ad04b2b965f0,26117954,2025-05-07T18:15:23.457079
ABlKlZLARREGLOLMASINYA,abi öyle bakacak olursak tr de kimse bu işe yatırım yapmasın kazanc yoksa boşa zaman,ee1c28b1-92cf-4274-817d-f40cc8f1c793,60644258,2025-05-07T18:15:24.373944
Atemwastaken1,göt yoksa oynanmaz,0511b5dc-d771-470b-9c26-3fd90942cb74,44340261,2025-05-07T18:15:26.633564
Zarafel,bushido jahoya hakaret eden mercyi takıma geri almış,82eab39f-bed5-4392-9120-5be7b3bc0a6e,42602144,2025-05-07T18:15:27.983890
ramelowb,@barbaros67 jaho geldi de siktir cekti yasir ve holyle kuracağım dedi travmasi varmis yasirin,cabec8e0-1fb4-4e46-8332-93a3695ffadf,38888468,2025-05-07T18:15:36.123688
XxxBOZKURTxxX,Bu mesaj Türkiye Cumhuriyeti Tarafından engellenmiştir.,41ee3cbc-91a4-4109-9230-168006b62384,43024616,2025-05-07T18:15:36.558441
nikomann,sevdigim bir seri kanka ondan merak ettim naru begenmis mi diyr,284da97f-e350-4bd8-adb2-6b597a44b95e,26922037,2025-05-07T18:15:37.480410
gnddilara,jiggle pycsics,0c9b1357-1b9d-427f-bf8f-338aee2d21bb,27445333,2025-05-07T18:15:39.057967
sakolandin,Sikiş gelsin artık gtaya,718e3067-0ba4-4064-a947-544ff1ec6882,26927992,2025-05-07T18:15:39.544536
Celil_K,sorry I dont have money diyip reddederdi,175d27ae-dc12-425a-81fb-db5ad9b9bf63,30278004,2025-05-07T18:15:41.590310
Tuzlu_Ayran123,abi sup sence playofflara kalabilcek mi,9e6bbee1-4cf8-4a2a-81a2-7e135c8ab79e,59260705,2025-05-07T18:15:44.775551
Pitann,ADSSADSADSADSADDAS,686b2bb8-5d9a-4b46-8332-e8bd1dc66af0,48868524,2025-05-07T18:15:48.388127
AGALAR123,worlds'e girme şartı nedir,bb7ccad3-42b4-4910-80f7-cdac2193612c,26874173,2025-05-07T18:15:49.323871
Celil_K,merhamet9 geri dönmüş,1b616862-f6e3-4320-9a93-9ecd355f2a48,30278004,2025-05-07T18:15:53.189068
aventador420,hakaret nerde amk,0273c5f5-25a0-4e91-8aa7-7742e18bcce3,8480213,2025-05-07T18:15:53.189068
